SEQUENS,CZERFAM95,MK_KHARK,AC_KHARK,MK_QIAN,AC_QIAN,NAME,AUTHOR
1195,LAMIACEAE,AC,1195,?,0,Clinopodium kunashirense,Probat.
1429,LAMIACEAE,AC,1429,?,0,Dracocephalum charkeviczii,Probat.
1496,LAMIACEAE,AC,1496,?,0,Elsholtzia amurensis,Probat.
2265,LAMIACEAE,AC,2265,?,0,Lycopus alissoviae,Probat.
2266,LAMIACEAE,AC,2266,?,0,Lycopus charkeviczii,Probat.
2268,LAMIACEAE,AC,2268,?,0,Lycopus kurilensis,Probat.
2271,LAMIACEAE,AC,2271,?,0,Lycopus sichotensis,Probat.
7734,APIACEAE,MA,3566,SY,0,Libanotis ugoensis,Kitag.
2329,CUCURBITACEAE,AC,2329,SY,0,Melo sativus,Sager. ex M. Roem.
7873,POLYGONACEAE,MA,2654,SY,0,Persicaria caespitosum,Blume
7772,POLYGONACEAE,MA,4003,SY,0,Persicaria strigosum,R.Br.
7186,POLYPODIACEAE,MA,3081,SY,0,Cyclophorus lingua,(Thunb.) Desv.
6937,ACERACEAE,MA,13,,0,Acer pictum,Thunb.
4306,APIACEAE,MA,124,,0,Aegopodium henryi,Diels
4839,APIACEAE,MA,1212,,0,Conioselinum camtschaticum,Rupr.
5711,APIACEAE,MA,2727,,0,Pimpinella magna f. dissecta,DC.
7899,APIACEAE,MA,3337,,0,Sanicula elata,Hamilt.
7805,ASPLENIACEAE,MA,463,,0,Asplenium anagrammoides,Christ
6601,ASPLENIACEAE,MA,516,,0,Asplenium goeringianum,(G.Kunze) Moore
5673,ASTERACEAE,MA,2660,,0,Petasites palmatus,(Ait.) A.Gray
7624,ATHYRIACEAE,MA,2229,,0,Athyrium acrostichoides,(Sw.) Diels
7935,ATHYRIACEAE,MA,508,,0,Athyrium gramminoides,(C.Presl) Milde
4954,BRASSICACEAE,MA,1421,,0,Draba micropetela,Hooker
6531,CAMPANULACEAE,MA,111,,0,Campanula trachelioides,Maxim.
6847,CELASTRACEAE,MA,1639,,0,Euonymus yezoensis,Koidz.
7004,COMMELINACEAE,MA,2388,,0,Aneilema japonicum,(Thunb.) Kunth
6677,CYPERACEAE,MA,849,,0,Carex haematostachys,Levl. et Vaniot
4739,CYPERACEAE,MA,1028,,0,Carex lanseolata,Boott
7518,CYPERACEAE,MA,956,,0,Carex reticulmis,Franch.
6696,CYPERACEAE,MA,997,,0,Carex squatilis,Wahlenb.
4928,DIOSCOREACEAE,MA,1382,,0,Dioscorea polystachya,Turcz.
5585,FABACEAE,MA,2525,,0,Oxytropis belli,(Britt.) Palib.
5177,GERANIACEAE,MA,1809,,0,Geranium nepalense,Sweet
6907,HEMEROCALLIDACEAE,MA,1896,,0,Hemerocallis citrina,Baroni
6736,HEMIONITIDACEAE,MA,1211,,0,Coniogramme fraxinea,Diels
7599,HYMENOPHYLLACEAE,MA,1842,,0,Trichomanes parvulum,Poir.
5281,IRIDACEAE,MA,1991,,0,Iris maacki,Maxim.
6114,LAMIACEAE,MA,3518,,0,Scutellaria scordiifolia,Fisch. ex Shrank
5139,LILIACEAE,MA,1735,,0,Gagea coreana,Levl.
7392,MELANTHIACEAE,MA,4058,,0,Veratrum escholtzii,A.Gray.
6400,MELANTHIACEAE,MA,4056,,0,Veratrum oxycepalum,Turcz.
6704,NAJADACEAE,MA,1057,,0,Najas foveolata,A.Br. ex Magnus
6638,POACEAE,MA,613,,0,Brachypodium miserum,Koidz.
7716,POLYGONACEAE,MA,3221,,0,Rumex fenestratus,Greene
5789,POLYPODIACEAE,MA,2872,,0,Polypodium nipponicum,Mett.
4821,PORTULACACEAE,MA,1180,,0,Claytonia aschscholtzii,Cham.
7889,POTAMOGETONACEAE,MA,2918,,0,Potamogeton anguillanus,Koidz.
7151,POTAMOGETONACEAE,MA,2901,,0,Potamogeton natans var. prolixus,Koch
7689,POTAMOGETONACEAE,MA,2901,,0,Potamogeton polygoniifolius,Pourr.
5838,PRIMULACEAE,MA,3000,,0,Primula fauriei,Franch.
7696,PRIMULACEAE,MA,2992,,0,Primula heterodonta,Franch.
4271,RANUNCULACEAE,MA,76,,0,Aconitum tokii,Nakai
7196,RANUNCULACEAE,MA,3121,,0,Ranunculus turnery,Greene
376,ROSACEAE,AC,376,,0,Aronia mitschurinii,A.Skvortz.
7148,SALICACEAE,MA,2886,,0,Populus canadensis,Moench
7224,SALICACEAE,MA,3264,,0,Salix arbusculoides,Anderss.
6024,SALICACEAE,MA,3299,,0,Salix badgeana,Rydb.
7724,SALICACEAE,MA,3298,,0,Salix cyclophylla,Rydb.
6091,SAXIFRAGACEAE,MA,3458,,0,Saxifraga cortusifolia,Siebold et Zucc.
5329,SCROPHULARIACEAE,MA,2075,,0,Lagotis gmelinii,Rupr.
7400,SCROPHULARIACEAE,MA,4084,,0,Veronica yedoensis,Franch. et Savat.
7988,TRAPACEAE,MA,3932,,0,Trapa bispinosa,Roxb.
7418,VIOLACEAE,MA,4157,,0,Viola chinensis,Don fil.
6454,VIOLACEAE,MA,4157,,0,Viola patrinii var. chinensis,Ging.
6463,VIOLACEAE,MA,4176,,0,Viola semilunaris,W.Beck.
6465,VITACEAE,MA,4179,,0,Vitis kaempferi,Koch.
2,PINACEAE,AC,2,AC,2,Abies holophylla,Maxim.
3,PINACEAE,AC,3,AC,3,Abies nephrolepis,(Trautv.) Maxim.
4227,PINACEAE,SY,4,SY,3,Abies gracilis,Kom.
4226,PINACEAE,SY,3,SY,3,Abies sibirica var. nephrolepis,Trautv.
4,PINACEAE,AC,4,AC,4,Abies sachalinensis,Fr.Schmidt
5,MALVACEAE,AC,5,AC,5,Abutilon theophrasti,Medik.
4228,MALVACEAE,SY,5,SY,5,Abutilon avicennae,Gaertn.
6,EUPHORBIACEAE,AC,6,AC,6,Acalypha australis,L.
8,ACERACEAE,AC,8,AC,8,Acer barbinerve,Maxim.
9,ACERACEAE,AC,9,AC,9,Acer ginnala,Maxim.
10,ACERACEAE,AC,10,AC,10,Acer japonicum,Thunb.
11,ACERACEAE,AC,11,AC,11,Acer komarovii,Pojark.
6493,ACERACEAE,SY,11,SY,11,Acer tschonoskii ssp. komarovii,(Pojark.) Urussov et Nedoluzhko
4229,ACERACEAE,SY,11,SY,11,Acer tschonoskii var. rubripes,Kom.
12,ACERACEAE,AC,12,AC,12,Acer mandshuricum,Maxim.
14,ACERACEAE,AC,14,AC,14,Acer mono,Maxim.
13,ACERACEAE,AC,13,SY,14,Acer mayrii,Schwer.
4230,ACERACEAE,SY,13,SY,14,Acer mono var. mayrii,(Schwer.) Koidz.
15,ACERACEAE,AC,15,AC,15,Acer negundo,L.
16,ACERACEAE,AC,16,AC,16,Acer pseudosieboldianum,(Pax) Kom.
15596,ACERACEAE,SY,16,MS,16,Acer pseudo-sieboldianum,(Pax) Kom.
4231,ACERACEAE,SY,16,SY,16,Acer circumlobatum var. pseudosieboldianum,Pax.
17,ACERACEAE,AC,17,AC,17,Acer tegmentosum,Maxim.
18,ACERACEAE,AC,18,AC,18,Acer tschonoskii,Maxim.
19,ACERACEAE,AC,19,AC,19,Acer ukurunduense,Trautv. et Mey.
31,ASTERACEAE,AC,31,AC,31,Achillea asiatica,Serg.
32,ASTERACEAE,AC,32,AC,32,Achillea millefolium,L.
34,ASTERACEAE,AC,34,AC,34,Achillea nobilis,L.
35,ASTERACEAE,AC,35,AC,35,Achillea setacea,Waldst. et Kit.
36,POACEAE,AC,36,AC,36,Achnatherum confusum,(Litv.) Tzvel.
4244,POACEAE,SY,36,SY,36,Stipa confusum,Litv.
37,POACEAE,AC,37,AC,37,Achnatherum extremiorientale,(Hara) Keng ex Tzvel.
4245,POACEAE,SY,37,SY,37,Stipa extremiorientalis,Hara
38,POACEAE,AC,38,AC,38,Achnatherum sibiricum,(L.) Keng ex Tzvel.
4246,POACEAE,SY,38,SY,38,Avena sibirica,L.
6503,POACEAE,SY,38,SY,38,Stipa sibirica,(L.) Lam.
40,AMARANTHACEAE,AC,40,AC,40,Achyranthes japonica,(Miq.) Nakai
6504,AMARANTHACEAE,SY,40,SY,40,Achyranthes bidentata,Blume
4248,AMARANTHACEAE,SY,40,SY,40,Achyranthes bidentata var. japonica,Miq.
41,LAMIACEAE,AC,41,AC,41,Acinos arvensis,(Lam.) Dandy
6505,LAMIACEAE,SY,41,SY,41,Acinos thymoides,(L.) Moench
4249,LAMIACEAE,SY,41,SY,41,Calamintha arvensis,Lam.
44,RANUNCULACEAE,AC,44,AC,44,Aconitum albo-violaceum,Kom.
45,RANUNCULACEAE,AC,45,AC,45,Aconitum ambiguum,Reichenb.
7436,RANUNCULACEAE,SY,45,SY,45,Aconitum czekanovskyi var. sphagnicola,Worosch.
4252,RANUNCULACEAE,SY,45,SY,45,Aconitum longiracemosum,Worosch.
7793,RANUNCULACEAE,SY,45,SY,45,Aconitum montibaicalense,Worosch.
48,RANUNCULACEAE,AC,48,AC,48,Aconitum baicalense,Turcz. ex Rapaics.
6509,RANUNCULACEAE,SY,48,SY,48,Aconitum ambiguum var. baicalense,(Turcz. ex Rapaicz.) Worosch.
6507,RANUNCULACEAE,SY,45,SY,48,Aconitum contractum ssp. tukuringraense,Worosch.
4255,RANUNCULACEAE,SY,48,SY,48,Aconitum czekanovskyi,Steinb.
49,RANUNCULACEAE,AC,49,AC,49,Aconitum barbatum,Pers.
50,RANUNCULACEAE,AC,50,AC,50,Aconitum charkeviczii,Worosch.
51,RANUNCULACEAE,AC,51,AC,51,Aconitum consanguineum,Worosch.
52,RANUNCULACEAE,AC,52,AC,52,Aconitum coreanum,(Levl.) Rapaics.
4256,RANUNCULACEAE,SY,52,SY,52,Aconitum delavayi var. coreanum,Levl.
6510,RANUNCULACEAE,SY,52,SY,52,Aconitum komarovii,Steinb.
53,RANUNCULACEAE,AC,53,AC,53,Aconitum crassifolium,Steinb.
54,RANUNCULACEAE,AC,54,AC,54,Aconitum delphinifolium,DC.
55,RANUNCULACEAE,AC,55,AC,55,Aconitum desoulavyi,Kom.
56,RANUNCULACEAE,AC,56,AC,56,Aconitum fischeri,Reichenb.
4257,RANUNCULACEAE,SY,56,SY,56,Aconitum lubarskyi,Reichenb.
57,RANUNCULACEAE,AC,57,AC,57,Aconitum helenae,Worosch.
58,RANUNCULACEAE,AC,58,AC,58,Aconitum karafutense,Miyabe et Nakai
4258,RANUNCULACEAE,SY,58,SY,58,Aconitum flagellare,(Fr.Schmidt) Steinb.
59,RANUNCULACEAE,AC,59,AC,59,Aconitum kirinense,Nakai
62,RANUNCULACEAE,AC,62,AC,62,Aconitum kusnezoffii,Reichenb.
4261,RANUNCULACEAE,SY,62,SY,62,Aconitum pulcherrimum,Nakai
64,RANUNCULACEAE,AC,64,AC,64,Aconitum macrorhynchum,Turcz. ex Ledeb.
65,RANUNCULACEAE,AC,65,AC,65,Aconitum maximum,Pall. ex DC.
4263,RANUNCULACEAE,SY,65,SY,65,Aconitum luxurians,Nakai
66,RANUNCULACEAE,AC,66,AC,66,Aconitum neosachalinense,Levl.
4264,RANUNCULACEAE,SY,66,SY,66,Aconitum miyabei,Nakai
7437,RANUNCULACEAE,SY,66,SY,66,Aconitum suginomei,Nakai
67,RANUNCULACEAE,AC,67,AC,67,Aconitum ochotense,Reichenb.
68,RANUNCULACEAE,AC,68,AC,68,Aconitum raddeanum,Regel
69,RANUNCULACEAE,AC,69,AC,69,Aconitum ranunculoides,Turcz. ex Ledeb.
